year,month,day,hour,open,high,low,close,adj close
2020,2,6,19,6002.919922,6013.699219,5969.484863,5987.14502,5987.14502
2020,2,7,19,5988.058105,6004.812012,5981.644043,5999.606934,5999.606934
2020,2,10,19,5993.376953,5996.46582,5937.380859,5952.083008,5952.083008
2020,2,11,19,5974,5975.160156,5946.220215,5954.396973,5954.396973
2020,2,12,19,5957.060059,5962.347168,5895.724121,5913.081055,5913.081055
2020,2,13,19,5921.912109,5929.499023,5860.254883,5871.954102,5871.954102
2020,2,14,19,5857.721191,5890.028809,5843.432129,5866.944824,5866.944824
2020,2,17,19,5863.914063,5878.463867,5853.598145,5867.522949,5867.522949
2020,2,18,19,5856.880859,5907.13916,5855.924805,5886.961914,5886.961914
2020,2,19,19,5898.899902,5928.791016,5898.701172,5928.791016,5928.791016
2020,2,20,19,5941.450195,5960.712891,5929.14502,5942.486816,5942.486816
2020,2,21,19,5940.785156,5944.205078,5873.731934,5882.254883,5882.254883
2020,2,24,19,5846.145996,5863.124023,5787.919922,5807.049805,5807.049805
2020,2,25,19,5784.736816,5814.679199,5752.334961,5787.138184,5787.138184
2020,2,26,19,5757.166992,5757.740234,5688.920898,5688.920898,5688.920898
2020,2,27,19,5680.437012,5684.286133,5526.816895,5535.693848,5535.693848
2020,2,28,19,5436.171875,5456.275879,5288.370117,5452.704102,5452.704102
2020,3,2,19,5455.045898,5491.134766,5354.620117,5361.246094,5361.246094
2020,3,3,19,5431.295898,5545.773926,5431.295898,5518.62793,5518.62793
2020,3,4,19,5524.094238,5651.85498,5516.805176,5650.13623,5650.13623
2020,3,5,19,5688.778809,5715.940918,5613.719238,5638.129883,5638.129883
2020,3,6,19,5575.565918,5577.801758,5498.540039,5498.540039,5498.540039
2020,3,9,19,5364.604004,5364.604004,5133.150879,5136.809082,5136.809082
2020,3,10,19,5149.493164,5278.422852,5149.452148,5220.826172,5220.826172
2020,3,11,19,5231.608887,5264.47998,5112.318848,5154.10498,5154.10498
2020,3,12,19,5040.964844,5040.987793,4895.748047,4895.748047,4895.748047
2020,3,13,19,4895.748047,4937.993164,4639.914063,4907.570801,4907.570801
2020,3,16,19,4907.570801,4907.570801,4677.75,4690.657227,4690.657227
2020,3,17,19,4690.657227,4698.043945,4447.956055,4456.749023,4456.749023
2020,3,18,19,4456.749023,4473.824219,4284.674805,4330.673828,4330.673828
2020,3,19,19,4330.673828,4330.673828,4093.714111,4105.421875,4105.421875
2020,3,20,19,4105.421875,4238.263184,3918.340088,4194.943848,4194.943848
2020,3,23,19,4194.943848,4194.943848,3975.190918,3989.51709,3989.51709
2020,3,24,19,3989.51709,4123.562012,3911.716064,3937.63208,3937.63208
2020,3,26,19,3937.63208,4370.660156,3935.914063,4338.903809,4338.903809
2020,3,27,19,4338.903809,4697.666016,4338.903809,4545.570801,4545.570801
2020,3,30,19,4545.570801,4545.570801,4317.713867,4414.5,4414.5
2020,3,31,19,4414.5,4569.473145,4414.5,4538.930176,4538.930176
2020,4,1,19,4538.930176,4627.417969,4445.138184,4466.037109,4466.037109
2020,4,2,19,4466.037109,4531.685059,4393.668945,4531.685059,4531.685059
2020,4,3,19,4531.685059,4623.429199,4531.685059,4623.429199,4623.429199
2020,4,6,19,4623.429199,4811.827148,4623.429199,4811.827148,4811.827148
2020,4,7,19,4811.827148,4975.536133,4721.721191,4778.63916,4778.63916
2020,4,8,19,4778.63916,4780.214844,4583.900879,4626.694824,4626.694824
2020,4,9,19,4626.694824,4669.709961,4562.901855,4649.079102,4649.079102
2020,4,13,19,4649.079102,4659.029785,4591.728027,4623.894043,4623.894043
2020,4,14,19,4623.894043,4706.491211,4623.894043,4706.491211,4706.491211
2020,4,15,19,4706.491211,4747.725098,4605.054199,4625.904785,4625.904785
2020,4,16,19,4480.606934,4480.606934,4480.606934,4480.606934,4480.606934
2020,4,17,19,4480.606934,4637.242188,4480.606934,4634.820801,4634.820801
2020,4,20,19,4634.820801,4669.541992,4573.773926,4575.904785,4575.904785
2020,4,21,19,4575.904785,4575.904785,4482.63916,4501.918945,4501.918945
2020,4,22,19,4501.918945,4580.680176,4441.089844,4567.562012,4567.562012
2020,4,23,19,4567.562012,4629.025879,4567.562012,4593.554199,4593.554199
2020,4,24,19,4593.554199,4593.830078,4496.063965,4496.063965,4496.063965
2020,4,27,19,4496.063965,4541.312012,4474.893066,4513.141113,4513.141113
2020,4,28,19,4513.141113,4532.378906,4494.470215,4529.554199,4529.554199
2020,4,29,19,4529.554199,4568.665039,4523.955078,4567.323242,4567.323242
2020,4,30,19,4567.323242,4726.773926,4567.323242,4716.402832,4716.402832
2020,5,4,19,4716.402832,4716.402832,4576.228027,4605.486816,4605.486816
2020,5,5,19,4605.486816,4667.786133,4605.486816,4630.132813,4630.132813
2020,5,6,19,4630.132813,4647.524902,4597.750977,4608.790039,4608.790039
2020,5,8,19,4608.790039,4630.588867,4586.73877,4597.430176,4597.430176
2020,5,11,19,4597.430176,4659.861816,4597.430176,4639.10498,4639.10498
2020,5,12,19,4639.10498,4644.134766,4552.387207,4588.733887,4588.733887
2020,5,13,19,4588.733887,4588.733887,4519.978027,4554.358887,4554.358887
2020,5,14,19,4554.358887,4564.149902,4494.153809,4513.833984,4513.833984
2020,5,15,19,4513.833984,4540.420898,4460.272949,4507.606934,4507.606934
2020,5,18,19,4507.606934,4527.967773,4487.179199,4511.058105,4511.058105
2020,5,19,19,4511.058105,4609.041992,4511.058105,4548.655762,4548.655762
2020,5,20,19,4548.655762,4561.554199,4521.470215,4545.952148,4545.952148
2020,5,26,19,4545.952148,4634.652832,4541.833984,4626.798828,4626.798828
2020,5,27,19,4626.798828,4641.555176,4597.37207,4641.555176,4641.555176
2020,5,28,19,4641.555176,4741.603027,4638.808105,4716.185059,4716.185059
2020,5,29,19,4716.185059,4755.957031,4704.788086,4753.611816,4753.611816
2020,6,2,19,4753.611816,4884.01123,4753.611816,4847.506836,4847.506836
2020,6,3,19,4847.506836,4960.070801,4847.506836,4941.005859,4941.005859
2020,6,4,19,4941.005859,5014.76416,4899.390137,4916.704102,4916.704102
2020,6,5,19,4916.704102,4948.512207,4851.148926,4947.782227,4947.782227
2020,6,8,19,4947.782227,5103.085938,4947.782227,5070.561035,5070.561035
2020,6,9,19,5070.561035,5139.405762,5023.76709,5035.055176,5035.055176
2020,6,10,19,5035.055176,5036.855957,4892.817871,4920.682129,4920.682129
2020,6,11,19,4920.682129,4931.242188,4812.192871,4854.753906,4854.753906
2020,6,12,19,4854.753906,4880.358887,4712.073242,4880.358887,4880.358887
2020,6,15,19,4880.358887,4918.056152,4809.619141,4816.335938,4816.335938
2020,6,16,19,4816.335938,4989.526855,4816.335938,4986.458008,4986.458008
2020,6,17,19,4986.458008,5018.984863,4968.925781,4987.775879,4987.775879
2020,6,18,19,4987.775879,4993.61377,4925.248047,4925.248047,4925.248047
2020,6,19,19,4925.248047,4970.066895,4925.248047,4942.274902,4942.274902
2020,6,22,19,4942.274902,4957.666016,4904.766113,4918.831055,4918.831055
2020,6,23,19,4918.831055,4938.394043,4879.132813,4879.132813,4879.132813
2020,6,24,19,4879.132813,4977.650879,4879.132813,4964.734863,4964.734863
2020,6,25,19,4964.734863,4964.734863,4883.709961,4896.72998,4896.72998
2020,6,26,19,4896.72998,4941.138184,4882.141113,4904.087891,4904.087891
2020,6,29,19,4904.087891,4909.905762,4862.041016,4901.817871,4901.817871
2020,6,30,19,4901.817871,4939.839844,4894.120117,4905.39209,4905.39209
2020,7,1,19,4905.39209,4928.611816,4885.602051,4914.388184,4914.388184
2020,7,2,19,4914.388184,4966.779785,4914.388184,4966.779785,4966.779785
2020,7,3,19,4966.779785,4997.481934,4964.10791,4973.793945,4973.793945
2020,7,6,19,4973.793945,5009.345215,4973.490234,4988.866211,4988.866211
2020,7,7,19,4988.866211,5011.712891,4982.333984,4987.082031,4987.082031
2020,7,8,19,4987.082031,5080.251953,4985.01709,5076.173828,5076.173828
2020,7,9,19,5076.173828,5111.563965,5041.930176,5052.793945,5052.793945
2020,7,10,19,5052.793945,5076.520996,5022.169922,5031.255859,5031.255859
2020,7,13,19,5031.255859,5075.098145,5024.934082,5064.446777,5064.446777
2020,7,14,19,5064.446777,5079.12207,5053.722168,5079.12207,5079.12207
2020,7,15,19,5079.12207,5116.463867,5069.380859,5075.797852,5075.797852
2020,7,16,19,5075.797852,5107.259766,5075.797852,5098.374023,5098.374023
2020,7,17,19,5098.374023,5110.430176,5073.557129,5079.584961,5079.584961
2020,7,20,19,5079.584961,5100.191895,5031.888184,5051.105957,5051.105957
2020,7,21,19,5051.105957,5135.559082,5047.085938,5114.708984,5114.708984
2020,7,22,19,5114.708984,5142.043945,5099.566895,5110.187012,5110.187012
2020,7,23,19,5110.220215,5162.97998,5110.220215,5145.009766,5145.009766
2020,7,24,19,5145.01123,5149.589844,5074.492188,5082.991211,5082.991211
2020,7,27,19,5082.991211,5116.666016,5080.121094,5116.666016,5116.666016
2020,7,28,19,5116.666016,5143.286133,5097.418945,5112.98877,5112.98877
2020,7,29,19,5111.109863,5149.629883,5091.399902,5149.629883,5149.629883
2020,7,30,19,5111.112793,5149.626953,5091.399902,5149.626953,5149.626953
2020,8,3,19,5149.626953,5157.272949,4928.467773,5006.223145,5006.223145
2020,8,4,19,5006.223145,5075.001953,5006.223145,5075.001953,5075.001953
2020,8,5,19,5075.001953,5127.050781,5059.088867,5127.050781,5127.050781
2020,8,6,19,5127.050781,5187.963867,5127.050781,5178.271973,5178.271973
2020,8,7,19,5178.271973,5187.374023,5119.683105,5143.893066,5143.893066
2020,8,10,19,5157.833984,5157.833984,5157.833984,5157.833984,5157.833984
2020,8,11,19,5157.930176,5201.450195,5157.930176,5190.169922,5190.169922
2020,8,12,19,5190.166016,5235.52002,5178.458984,5233.452148,5233.452148
2020,8,13,19,5233.452148,5279.349121,5218.413086,5239.25,5239.25
2020,8,14,19,5239.25,5255.374023,5221.919922,5247.689941,5247.689941
2020,8,18,19,5247.689941,5316.132813,5243.995117,5295.173828,5295.173828
